billing_id,subscription_id,customer_id,billing_date,due_date,base_amount,additional_charges,tax_amount,total_amount,payment_amount,payment_date,payment_method,status,billing_cycle
BILL-1234589394,SUB-10001608,CUS-11094,2025-04-01,2025-04-15,109.78,0,11.35,121.13,72.42,2025-04-21,PayPal,Partial,2025-04-01
BILL-1234589395,SUB-10001608,CUS-11094,2025-05-01,2025-05-15,109.78,39.03,13,161.81,161.81,2025-05-16,Bank Transfer,Paid,2025-05-01
BILL-1234589396,SUB-10001608,CUS-11094,2025-06-01,2025-06-15,109.78,0,12.04,121.82,121.82,2025-06-11,Credit Card,Paid,2025-06-01
BILL-1234589397,SUB-10001609,CUS-11095,2024-05-01,2024-05-15,26.37,0,2.15,28.52,28.52,2024-05-11,Check,Paid,2024-05-01
BILL-1234589398,SUB-10001609,CUS-11095,2024-06-01,2024-06-15,26.37,0,2.56,28.93,28.93,2024-06-03,PayPal,Paid,2024-06-01
BILL-1234589399,SUB-10001609,CUS-11095,2024-07-01,2024-07-15,26.37,11.27,3.16,40.8,40.8,2024-07-02,Check,Paid,2024-07-01
BILL-1234589400,SUB-10001609,CUS-11095,2024-08-01,2024-08-15,26.37,0,2.17,28.54,28.54,2024-08-11,Check,Paid,2024-08-01
BILL-1234589401,SUB-10001609,CUS-11095,2024-09-01,2024-09-15,26.37,0,2.34,28.71,28.71,2024-09-11,PayPal,Paid,2024-09-01
BILL-1234589402,SUB-10001609,CUS-11095,2024-10-01,2024-10-15,26.37,0,2.77,29.14,29.14,2024-10-10,PayPal,Paid,2024-10-01
BILL-1234589403,SUB-10001609,CUS-11095,2024-11-01,2024-11-15,26.37,0,3.1,29.47,29.47,2024-11-10,Bank Transfer,Paid,2024-11-01
BILL-1234589404,SUB-10001609,CUS-11095,2024-12-01,2024-12-15,26.37,0,2.48,28.85,28.85,2024-12-05,PayPal,Paid,2024-12-01
BILL-1234589405,SUB-10001609,CUS-11095,2025-01-01,2025-01-15,26.37,0,2.45,28.82,28.82,2025-01-04,Check,Paid,2025-01-01
BILL-1234589406,SUB-10001609,CUS-11095,2025-02-01,2025-02-15,26.37,42.92,6.82,76.11,76.11,2025-02-17,Bank Transfer,Paid,2025-02-01
BILL-1234589407,SUB-10001609,CUS-11095,2025-03-01,2025-03-15,26.37,43.49,6.99,76.85,76.85,2025-03-15,Bank Transfer,Paid,2025-03-01
BILL-1234589408,SUB-10001609,CUS-11095,2025-04-01,2025-04-15,26.37,0,2.93,29.3,29.3,2025-04-16,PayPal,Paid,2025-04-01
BILL-1234589409,SUB-10001609,CUS-11095,2025-05-01,2025-05-15,26.37,0,3.07,29.44,29.44,2025-05-15,Bank Transfer,Paid,2025-05-01
BILL-1234589410,SUB-10001609,CUS-11095,2025-06-01,2025-06-15,26.37,0,2.57,28.94,null,null,null,Unpaid,2025-06-01
BILL-1234589411,SUB-10001610,CUS-11096,2025-03-01,2025-03-15,84.5,0,8.21,92.71,92.71,2025-03-12,PayPal,Paid,2025-03-01
BILL-1234589412,SUB-10001610,CUS-11096,2025-04-01,2025-04-15,84.5,0,8.4,92.9,92.9,2025-04-02,Credit Card,Paid,2025-04-01
BILL-1234589413,SUB-10001610,CUS-11096,2025-05-01,2025-05-15,84.5,0,7.03,91.53,91.53,2025-05-07,PayPal,Paid,2025-05-01
BILL-1234589414,SUB-10001610,CUS-11096,2025-06-01,2025-06-15,84.5,0,8.96,93.46,60.75,2025-06-27,Bank Transfer,Partial,2025-06-01
BILL-1234589415,SUB-10001611,CUS-11096,2025-02-01,2025-02-15,101.77,0,11.91,113.68,113.68,2025-02-08,PayPal,Paid,2025-02-01
BILL-1234589416,SUB-10001611,CUS-11096,2025-03-01,2025-03-15,101.77,0,9.49,111.26,111.26,2025-03-07,Check,Paid,2025-03-01
BILL-1234589417,SUB-10001611,CUS-11096,2025-04-01,2025-04-15,101.77,37.38,16.4,155.55,155.55,2025-04-05,PayPal,Paid,2025-04-01
BILL-1234589418,SUB-10001611,CUS-11096,2025-05-01,2025-05-15,101.77,0,9.86,111.63,111.63,2025-05-03,PayPal,Paid,2025-05-01
BILL-1234589419,SUB-10001611,CUS-11096,2025-06-01,2025-06-15,101.77,39.23,15.79,156.79,156.79,2025-06-12,Credit Card,Paid,2025-06-01
BILL-1234589420,SUB-10001612,CUS-11097,2024-01-01,2024-01-15,29.99,0,2.61,32.6,32.6,2024-01-04,Bank Transfer,Paid,2024-01-01
BILL-1234589421,SUB-10001612,CUS-11097,2024-02-01,2024-02-15,29.99,0,2.86,32.85,32.85,2024-02-09,Bank Transfer,Paid,2024-02-01
BILL-1234589422,SUB-10001612,CUS-11097,2024-03-01,2024-03-15,29.99,0,3.36,33.35,33.35,2024-03-09,Bank Transfer,Paid,2024-03-01
BILL-1234589423,SUB-10001612,CUS-11097,2024-04-01,2024-04-15,29.99,0,3.32,33.31,33.31,2024-04-05,Bank Transfer,Paid,2024-04-01
BILL-1234589424,SUB-10001612,CUS-11097,2024-05-01,2024-05-15,29.99,0,3.1,33.09,33.09,2024-05-17,Check,Paid,2024-05-01
BILL-1234589425,SUB-10001612,CUS-11097,2024-06-01,2024-06-15,29.99,0,2.57,32.56,32.56,2024-06-15,PayPal,Paid,2024-06-01
BILL-1234589426,SUB-10001612,CUS-11097,2024-07-01,2024-07-15,29.99,0,3.38,33.37,33.37,2024-07-10,Check,Paid,2024-07-01
BILL-1234589427,SUB-10001612,CUS-11097,2024-08-01,2024-08-15,29.99,0,3.6,33.59,33.59,2024-08-05,Credit Card,Paid,2024-08-01
BILL-1234589428,SUB-10001612,CUS-11097,2024-09-01,2024-09-15,29.99,0,3.25,33.24,33.24,2024-09-11,Credit Card,Paid,2024-09-01
BILL-1234589429,SUB-10001612,CUS-11097,2024-10-01,2024-10-15,29.99,33.75,6.87,70.61,70.61,2024-10-07,Bank Transfer,Paid,2024-10-01
BILL-1234589430,SUB-10001612,CUS-11097,2024-11-01,2024-11-15,29.99,0,3.37,33.36,33.36,2024-11-12,Bank Transfer,Paid,2024-11-01
BILL-1234589431,SUB-10001612,CUS-11097,2024-12-01,2024-12-15,29.99,46.13,7.53,83.65,83.65,2024-12-09,PayPal,Paid,2024-12-01
BILL-1234589432,SUB-10001612,CUS-11097,2025-01-01,2025-01-15,29.99,46.73,6.35,83.07,83.07,2025-02-13,PayPal,Late,2025-01-01
BILL-1234589433,SUB-10001612,CUS-11097,2025-02-01,2025-02-15,29.99,36.61,7.94,74.54,74.54,2025-02-22,Check,Late,2025-02-01
BILL-1234589434,SUB-10001612,CUS-11097,2025-03-01,2025-03-15,29.99,0,2.96,32.95,32.95,2025-03-02,Check,Paid,2025-03-01
BILL-1234589435,SUB-10001612,CUS-11097,2025-04-01,2025-04-15,29.99,0,2.58,32.57,32.57,2025-04-06,Credit Card,Paid,2025-04-01
BILL-1234589436,SUB-10001612,CUS-11097,2025-05-01,2025-05-15,29.99,0,2.43,32.42,32.42,2025-05-08,PayPal,Paid,2025-05-01
BILL-1234589437,SUB-10001612,CUS-11097,2025-06-01,2025-06-15,29.99,0,2.48,32.47,32.47,2025-06-18,PayPal,Paid,2025-06-01
BILL-1234589438,SUB-10001613,CUS-11097,2024-01-01,2024-01-15,106.26,37.38,16.05,159.69,159.69,2024-01-13,Bank Transfer,Paid,2024-01-01
BILL-1234589439,SUB-10001613,CUS-11097,2024-02-01,2024-02-15,106.26,0,11.02,117.28,117.28,2024-02-07,Check,Paid,2024-02-01
BILL-1234589440,SUB-10001613,CUS-11097,2024-03-01,2024-03-15,106.26,0,10.84,117.1,117.1,2024-03-08,PayPal,Paid,2024-03-01
BILL-1234589441,SUB-10001613,CUS-11097,2024-04-01,2024-04-15,106.26,0,9.49,115.75,115.75,2024-04-12,PayPal,Paid,2024-04-01
BILL-1234589442,SUB-10001613,CUS-11097,2024-05-01,2024-05-15,106.26,0,12.1,118.36,118.36,2024-05-10,PayPal,Paid,2024-05-01
BILL-1234589443,SUB-10001613,CUS-11097,2024-06-01,2024-06-15,106.26,0,10.57,116.83,116.83,2024-06-04,Bank Transfer,Paid,2024-06-01
BILL-1234589444,SUB-10001613,CUS-11097,2024-07-01,2024-07-15,106.26,46.76,12.42,165.44,165.44,2024-07-13,Credit Card,Paid,2024-07-01
BILL-1234589445,SUB-10001613,CUS-11097,2024-08-01,2024-08-15,106.26,0,11.51,117.77,117.77,2024-08-08,Bank Transfer,Paid,2024-08-01
BILL-1234589446,SUB-10001613,CUS-11097,2024-09-01,2024-09-15,106.26,0,10.54,116.8,116.8,2024-09-10,Credit Card,Paid,2024-09-01
BILL-1234589447,SUB-10001613,CUS-11097,2024-10-01,2024-10-15,106.26,0,11.5,117.76,117.76,2024-10-02,Check,Paid,2024-10-01
BILL-1234589448,SUB-10001613,CUS-11097,2024-11-01,2024-11-15,106.26,0,9.51,115.77,115.77,2024-11-11,Check,Paid,2024-11-01
BILL-1234589449,SUB-10001613,CUS-11097,2024-12-01,2024-12-15,106.26,0,9.81,116.07,116.07,2024-12-14,Bank Transfer,Paid,2024-12-01
BILL-1234589450,SUB-10001613,CUS-11097,2025-01-01,2025-01-15,106.26,0,12.31,118.57,118.57,2025-01-04,Credit Card,Paid,2025-01-01
