customer_id,customer_segment,city,state,registration_date,customer_status,preferred_contact_method,loyalty_tier,churn_risk_score,customer_value_score,satisfaction_score
CUS-10001,Family,North Judithbury,IN,2020-02-21,Active,Email,Bronze,6,82,64
CUS-10002,Individual,Lake Curtis,WA,2020-03-06,Active,Email,Gold,1,82,82
CUS-10003,Family,New Roberttown,CO,2023-12-07,Active,Email,Silver,71,64,56
CUS-10004,Family,East William,AK,2021-11-27,Active,Email,Platinum,1,92,94
CUS-10005,Individual,Lake Debra,ND,2024-10-01,Active,Email,Bronze,49,48,58
CUS-10006,Student,Robinsonshire,KY,2022-02-14,Active,Email,Gold,50,60,96
CUS-10007,Individual,Port Lindachester,MA,2020-05-22,Active,Email,Silver,5,61,65
CUS-10008,Individual,Ericmouth,CT,2022-07-17,Active,Email,Bronze,19,46,61
CUS-10009,Family,South Colinstad,PA,2020-12-16,Active,Email,Gold,7,100,100
CUS-10010,Individual,Lindsaymouth,ND,2021-10-26,Active,Phone,Silver,5,60,84
CUS-10011,Individual,South Christianport,MP,2021-03-08,Inactive,Phone,Platinum,33,92,95
CUS-10012,Individual,Barbaraland,AZ,2025-02-15,Active,Email,Bronze,67,47,81
CUS-10013,Individual,Port Keith,CO,2023-04-12,Active,Phone,Bronze,18,52,88
CUS-10014,Individual,Port Craig,KY,2020-04-06,Active,Email,Bronze,43,58,90
CUS-10015,Individual,Reidstad,GA,2022-02-20,Active,Email,Silver,39,49,60
CUS-10016,Family,Michaelview,UT,2023-01-04,Active,Phone,Bronze,27,70,65
CUS-10017,Individual,New Cynthiaside,VA,2025-05-07,Active,Phone,Platinum,58,65,91
CUS-10018,Premium,East Steven,KY,2024-11-17,Active,SMS,Gold,7,100,92
CUS-10019,Family,Lake Mark,WI,2023-01-09,Suspended,SMS,Platinum,77,97,56
CUS-10020,Individual,East Lydiamouth,MO,2025-03-17,Active,SMS,Gold,25,51,80
CUS-10021,Business,Carlshire,FM,2025-04-23,Active,Phone,Platinum,43,100,70
CUS-10022,Individual,Jasonfort,MO,2022-08-31,Inactive,Email,Silver,75,61,58
CUS-10023,Premium,Thomasberg,IA,2024-03-26,Active,Email,Silver,47,100,74
CUS-10024,Individual,Juliechester,MH,2022-11-25,Active,Email,Bronze,9,55,94
CUS-10025,Individual,Coxberg,NY,2021-03-27,Active,Phone,Bronze,4,43,81
CUS-10026,Individual,Daviston,VI,2021-05-02,Active,Email,Gold,36,80,99
CUS-10027,Individual,East Courtneychester,PA,2024-05-25,Active,Email,Bronze,62,45,70
CUS-10028,Individual,South Patrickmouth,NC,2022-08-14,Active,Email,Silver,48,51,54
CUS-10029,Individual,Tashatown,TX,2021-11-25,Active,Email,Bronze,37,54,61
CUS-10030,Individual,Lake Nicoleview,WI,2021-07-24,Active,SMS,Bronze,52,58,56
CUS-10031,Individual,Danielchester,GA,2023-01-12,Active,SMS,Platinum,53,74,70
CUS-10032,Individual,Smithview,NY,2022-09-12,Active,Email,Bronze,31,38,78
CUS-10033,Individual,New Rita,VI,2024-05-24,Active,Email,Silver,66,59,78
