ticket_id,customer_id,subscription_id,created_date,status,category,priority,description,resolution,resolved_date,agent_id,formatted_content
TICK-8001,CUS-11022,SUB-10001509,2025-01-03 00:05:27.020538,Open,Technical,Medium,"Re: Ticket TICK-8001 (Created: 2025-01-03 00:05)

New iPhone 16 setup failed; customer needs assistance with eSIM activation.","","","","Ticket ID: TICK-8001
Customer ID: CUS-11022
Subscription ID: SUB-10001509
Category: Technical
Priority: Medium
Status: Open
Created: 2025-01-03 00:05:27.020538

---
DESCRIPTION:
---

Re: Ticket TICK-8001 (Created: 2025-01-03 00:05)

New iPhone 16 setup failed; customer needs assistance with eSIM activation."
TICK-8002,CUS-10532,SUB-10000778,2024-09-07 00:05:27.020818,In Progress,Technical,Medium,"Re: Ticket TICK-8002 (Created: 2024-09-07 00:05)

Customer complains of slow data speeds after using 38GB; needs clarification on plan throttling policies.","","","","Ticket ID: TICK-8002
Customer ID: CUS-10532
Subscription ID: SUB-10000778
Category: Technical
Priority: Medium
Status: In Progress
Created: 2024-09-07 00:05:27.020818

---
DESCRIPTION:
---

Re: Ticket TICK-8002 (Created: 2024-09-07 00:05)

Customer complains of slow data speeds after using 38GB; needs clarification on plan throttling policies."
TICK-8003,CUS-10766,SUB-10001128,2024-05-31 00:05:27.020927,In Progress,Technical,Low,"Re: Ticket TICK-8003 (Created: 2024-05-31 00:05)

Customer's Galaxy S24 Ultra eSIM activation failed with error code E4527; need assistance completing setup.","","","","Ticket ID: TICK-8003
Customer ID: CUS-10766
Subscription ID: SUB-10001128
Category: Technical
Priority: Low
Status: In Progress
Created: 2024-05-31 00:05:27.020927

---
DESCRIPTION:
---

Re: Ticket TICK-8003 (Created: 2024-05-31 00:05)

Customer's Galaxy S24 Ultra eSIM activation failed with error code E4527; need assistance completing setup."
TICK-8004,CUS-10123,SUB-10000190,2024-07-18 00:05:27.021048,Closed,Account,Medium,"Re: Ticket TICK-8004 (Created: 2024-07-18 00:05)

Customer unable to access online account after 2 attempts; needs identity verification and credentials reset.","# Resolution for Ticket TICK-8004 | Agent ACC-2291 | Resolved on 2024-07-21 00:05

Dear Valued Customer,

Thank you for your patience while we resolved your online account access issue. I'm pleased to confirm that your account has been successfully restored with full access.

## Actions Taken:
1. Accessed the Account Management System (AMS) to verify your identity using our standard three-point verification protocol (DOB, account PIN, and billing address)
2. Identified that your account was temporarily locked due to multiple failed login attempts, triggering our automated security protocol per Security Policy SP-104
3. Performed a complete credentials reset in the Customer Authentication Database (CAD)
4. Generated a temporary password and sent it to your registered email address
5. Guided you through the password reset process via phone support
6. Verified successful login to your account while on the call
7. Added a 30-day security note to your account profile for additional monitoring (per Procedure AM-291)

## Additional Information:
- Your account security settings have been restored to default levels
- No unauthorized access was detected during our security audit
- Your account has been flagged for our enhanced monitoring program for the next 14 days as a precautionary measure

For future reference, I recommend downloading our mobile app which offers additional security features including biometric authentication and instant notifications of login attempts. The app is available for both iOS and Android devices.

If you experience any further issues accessing your account, please contact us immediately. We're available 24/7 through our support line or via live chat in our mobile app.

Thank you for your cooperation throughout this process. Is there anything else I can assist you with regarding your account?

Best regards,

Agent ACC-2291
Customer Account Security Team",2024-07-21 00:05:27.021048,ACC-2291,"Ticket ID: TICK-8004
Customer ID: CUS-10123
Subscription ID: SUB-10000190
Category: Account
Priority: Medium
Status: Closed
Created: 2024-07-18 00:05:27.021048
Agent ID: ACC-2291
Resolved: 2024-07-21 00:05:27.021048

---
DESCRIPTION:
---

Re: Ticket TICK-8004 (Created: 2024-07-18 00:05)

Customer unable to access online account after 2 attempts; needs identity verification and credentials reset.

---
RESOLUTION:
---

# Resolution for Ticket TICK-8004 | Agent ACC-2291 | Resolved on 2024-07-21 00:05

Dear Valued Customer,

Thank you for your patience while we resolved your online account access issue. I'm pleased to confirm that your account has been successfully restored with full access.

## Actions Taken:
1. Accessed the Account Management System (AMS) to verify your identity using our standard three-point verification protocol (DOB, account PIN, and billing address)
2. Identified that your account was temporarily locked due to multiple failed login attempts, triggering our automated security protocol per Security Policy SP-104
3. Performed a complete credentials reset in the Customer Authentication Database (CAD)
4. Generated a temporary password and sent it to your registered email address
5. Guided you through the password reset process via phone support
6. Verified successful login to your account while on the call
7. Added a 30-day security note to your account profile for additional monitoring (per Procedure AM-291)

## Additional Information:
- Your account security settings have been restored to default levels
- No unauthorized access was detected during our security audit
- Your account has been flagged for our enhanced monitoring program for the next 14 days as a precautionary measure

For future reference, I recommend downloading our mobile app which offers additional security features including biometric authentication and instant notifications of login attempts. The app is available for both iOS and Android devices.

If you experience any further issues accessing your account, please contact us immediately. We're available 24/7 through our support line or via live chat in our mobile app.

Thank you for your cooperation throughout this process. Is there anything else I can assist you with regarding your account?

Best regards,

Agent ACC-2291
Customer Account Security Team"
TICK-8005,CUS-10128,SUB-10000195,2024-05-28 00:05:40.757271,Closed,Billing,Critical,"Re: Ticket TICK-8005 (Created: 2024-05-28 00:05)

Customer requests bill credit due to 11 hour service outage in East Jessetown; confirm eligibility and apply compensation.","Resolution for Ticket TICK-8005 | Agent BIL-7227 | Resolved on 2024-05-28 00:05

Thank you for contacting us regarding the service outage experienced in East Jessetown. I sincerely apologize for the inconvenience this 11-hour disruption caused to your service.

Actions taken:
1. Verified the reported outage in our Network Management System (NMS) and confirmed that East Jessetown experienced a significant service disruption on May 27, 2024, lasting approximately 11 hours (from 08:30 to 19:30).
2. Reviewed your account in our Billing Management System to confirm active services during the outage period.
3. Applied service credit according to our Service Level Agreement Policy #SLA-2024-01, which entitles customers to compensation for outages exceeding 4 consecutive hours.
4. Processed a pro-rated credit of $14.67 to your account, calculated as follows:
   - Monthly service charge: $89.99
   - Daily rate: $3.00 (monthly charge ÷ 30 days)
   - Hourly rate: $0.125 (daily rate ÷ 24 hours)
   - Credit amount: $1.375 per hour × 11 hours = $14.67

This credit has been applied to your current billing cycle and will appear on your next statement as ""Service Outage Credit - May 2024."" You can view this adjustment immediately by logging into your online account through our mobile app (available on both iOS and Android) or via our website.

Our technical team has confirmed that the outage was caused by equipment failure at a local distribution hub, which has since been replaced to prevent similar incidents in the future.

Is there anything else I can assist you with regarding your billing or service? Please don't hesitate to reach out if you have any questions about the applied credit or if you experience any further service issues.

Thank you for your patience and understanding during this service disruption.",2024-05-28 00:05:40.757271,BIL-7227,"Ticket ID: TICK-8005
Customer ID: CUS-10128
Subscription ID: SUB-10000195
Category: Billing
Priority: Critical
Status: Closed
Created: 2024-05-28 00:05:40.757271
Agent ID: BIL-7227
Resolved: 2024-05-28 00:05:40.757271

---
DESCRIPTION:
---

Re: Ticket TICK-8005 (Created: 2024-05-28 00:05)

Customer requests bill credit due to 11 hour service outage in East Jessetown; confirm eligibility and apply compensation.

---
RESOLUTION:
---

Resolution for Ticket TICK-8005 | Agent BIL-7227 | Resolved on 2024-05-28 00:05

Thank you for contacting us regarding the service outage experienced in East Jessetown. I sincerely apologize for the inconvenience this 11-hour disruption caused to your service.

Actions taken:
1. Verified the reported outage in our Network Management System (NMS) and confirmed that East Jessetown experienced a significant service disruption on May 27, 2024, lasting approximately 11 hours (from 08:30 to 19:30).
2. Reviewed your account in our Billing Management System to confirm active services during the outage period.
3. Applied service credit according to our Service Level Agreement Policy #SLA-2024-01, which entitles customers to compensation for outages exceeding 4 consecutive hours.
4. Processed a pro-rated credit of $14.67 to your account, calculated as follows:
   - Monthly service charge: $89.99
   - Daily rate: $3.00 (monthly charge ÷ 30 days)
   - Hourly rate: $0.125 (daily rate ÷ 24 hours)
   - Credit amount: $1.375 per hour × 11 hours = $14.67

This credit has been applied to your current billing cycle and will appear on your next statement as ""Service Outage Credit - May 2024."" You can view this adjustment immediately by logging into your online account through our mobile app (available on both iOS and Android) or via our website.

Our technical team has confirmed that the outage was caused by equipment failure at a local distribution hub, which has since been replaced to prevent similar incidents in the future.

Is there anything else I can assist you with regarding your billing or service? Please don't hesitate to reach out if you have any questions about the applied credit or if you experience any further service issues.

Thank you for your patience and understanding during this service disruption."
TICK-8006,CUS-10150,SUB-10000238,2025-02-05 00:05:57.263625,Resolved,Account,Medium,"Re: Ticket TICK-8006 (Created: 2025-02-05 00:05)

Customer unable to access online account after 2 attempts; needs identity verification and credentials reset.","Resolution for Ticket TICK-8006 | Agent ACC-3677 | Resolved on 2025-02-06 00:05

I've successfully resolved the account access issue reported on 2025-02-05. After speaking with the customer, I verified their identity using our standard three-factor authentication protocol (security questions, government ID verification, and one-time PIN sent to their registered mobile number) in accordance with our Account Security Policy 4.2.

Actions taken:
1. Accessed the Account Management System (AMS) and located the customer profile
2. Confirmed that the account was locked due to multiple failed login attempts
3. Unlocked the account by clearing the security flags in the AMS backend
4. Guided the customer through our password reset process via the secure reset portal
5. Verified the customer could successfully log in with their new credentials
6. Provided a walkthrough of enabling biometric login on both our mobile app and website for easier future access

The customer was advised to wait 15 minutes after password reset before attempting to log in to allow for system synchronization across all platforms. I also recommended enabling two-factor authentication for additional account security and demonstrated how to set this up through the ""Account Security"" section of their profile.

No service credits were applied as this was an account security measure working as designed rather than a system failure. I've added a note to the customer's profile documenting this verification process to streamline any future support needs.

The customer confirmed successful account access before we concluded our interaction. I've also sent a follow-up email with links to our account security best practices guide and contact information should they experience any further issues.",2025-02-06 00:05:57.263625,ACC-3677,"Ticket ID: TICK-8006
Customer ID: CUS-10150
Subscription ID: SUB-10000238
Category: Account
Priority: Medium
Status: Resolved
Created: 2025-02-05 00:05:57.263625
Agent ID: ACC-3677
Resolved: 2025-02-06 00:05:57.263625

---
DESCRIPTION:
---

Re: Ticket TICK-8006 (Created: 2025-02-05 00:05)

Customer unable to access online account after 2 attempts; needs identity verification and credentials reset.

---
RESOLUTION:
---

Resolution for Ticket TICK-8006 | Agent ACC-3677 | Resolved on 2025-02-06 00:05

I've successfully resolved the account access issue reported on 2025-02-05. After speaking with the customer, I verified their identity using our standard three-factor authentication protocol (security questions, government ID verification, and one-time PIN sent to their registered mobile number) in accordance with our Account Security Policy 4.2.

Actions taken:
1. Accessed the Account Management System (AMS) and located the customer profile
2. Confirmed that the account was locked due to multiple failed login attempts
3. Unlocked the account by clearing the security flags in the AMS backend
4. Guided the customer through our password reset process via the secure reset portal
5. Verified the customer could successfully log in with their new credentials
6. Provided a walkthrough of enabling biometric login on both our mobile app and website for easier future access

The customer was advised to wait 15 minutes after password reset before attempting to log in to allow for system synchronization across all platforms. I also recommended enabling two-factor authentication for additional account security and demonstrated how to set this up through the ""Account Security"" section of their profile.

No service credits were applied as this was an account security measure working as designed rather than a system failure. I've added a note to the customer's profile documenting this verification process to streamline any future support needs.

The customer confirmed successful account access before we concluded our interaction. I've also sent a follow-up email with links to our account security best practices guide and contact information should they experience any further issues."
TICK-8007,CUS-11340,SUB-10001970,2024-06-07 00:06:09.313507,Closed,Account,High,"Re: Ticket TICK-8007 (Created: 2024-06-07 00:06)

Customer requests to disconnect additional line without affecting other services; need to confirm billing changes.","# Resolution for Ticket TICK-8007 | Agent ACC-5386 | Resolved on 2024-06-10 00:06

Thank you for contacting us regarding disconnecting an additional line while maintaining your other services. I'm happy to confirm this has been successfully completed.

## Actions Taken:
- Accessed the Account Management System (AMS) to review your current plan configuration
- Verified the additional line (ending in 3847) was eligible for disconnection without early termination fees
- Processed the disconnection request through the Line Management Portal (LMP)
- Updated your account profile to reflect the new service configuration
- Recalculated your monthly billing based on the revised service package
- Generated a prorated credit of $17.43 for the unused portion of the current billing cycle

## Billing Changes:
Your monthly bill will decrease by $45.00 starting with your next billing cycle. The final charges for the disconnected line have been prorated according to our Partial Service Period Policy (PSPP-2023), and the credit of $17.43 has been applied to your account.

## Additional Information:
- The disconnection will not affect any of your remaining services or promotional rates
- Your account has been flagged with a ""No Win-Back"" status for this line per your request
- The phone number associated with the disconnected line will be held for 60 days per our Number Retention Policy before being released back into our number pool

You can view these changes by logging into your online account or through our mobile app (available on both iOS and Android). The updated billing statement will be available for review on your next billing date.

Is there anything else I can assist you with regarding your account? Please don't hesitate to contact us if you have any questions about these changes or if you need assistance with any other services.

Thank you for choosing our services.

Regards,
Agent ACC-5386
Customer Account Services",2024-06-10 00:06:09.313507,ACC-5386,"Ticket ID: TICK-8007
Customer ID: CUS-11340
Subscription ID: SUB-10001970
Category: Account
Priority: High
Status: Closed
Created: 2024-06-07 00:06:09.313507
Agent ID: ACC-5386
Resolved: 2024-06-10 00:06:09.313507

---
DESCRIPTION:
---

Re: Ticket TICK-8007 (Created: 2024-06-07 00:06)

Customer requests to disconnect additional line without affecting other services; need to confirm billing changes.

---
RESOLUTION:
---

# Resolution for Ticket TICK-8007 | Agent ACC-5386 | Resolved on 2024-06-10 00:06

Thank you for contacting us regarding disconnecting an additional line while maintaining your other services. I'm happy to confirm this has been successfully completed.

## Actions Taken:
- Accessed the Account Management System (AMS) to review your current plan configuration
- Verified the additional line (ending in 3847) was eligible for disconnection without early termination fees
- Processed the disconnection request through the Line Management Portal (LMP)
- Updated your account profile to reflect the new service configuration
- Recalculated your monthly billing based on the revised service package
- Generated a prorated credit of $17.43 for the unused portion of the current billing cycle

## Billing Changes:
Your monthly bill will decrease by $45.00 starting with your next billing cycle. The final charges for the disconnected line have been prorated according to our Partial Service Period Policy (PSPP-2023), and the credit of $17.43 has been applied to your account.

## Additional Information:
- The disconnection will not affect any of your remaining services or promotional rates
- Your account has been flagged with a ""No Win-Back"" status for this line per your request
- The phone number associated with the disconnected line will be held for 60 days per our Number Retention Policy before being released back into our number pool

You can view these changes by logging into your online account or through our mobile app (available on both iOS and Android). The updated billing statement will be available for review on your next billing date.

Is there anything else I can assist you with regarding your account? Please don't hesitate to contact us if you have any questions about these changes or if you need assistance with any other services.

Thank you for choosing our services.

Regards,
Agent ACC-5386
Customer Account Services"
TICK-8008,CUS-10012,SUB-10000018,2024-06-22 00:06:29.859081,Resolved,Technical,Low,"Re: Ticket TICK-8008 (Created: 2024-06-22 00:06)

Customer's phone reported as lost/stolen incorrectly; needs review of blacklist status for OnePlus 12 with IMEI 384412919.","Resolution for Ticket TICK-8008 | Agent TEC-8019 | Resolved on 2024-06-26 00:06

Dear Customer,

Thank you for bringing this matter to our attention regarding your OnePlus 12 device that was incorrectly reported as lost/stolen.

Actions Taken:
1. Verified your account details and ownership of the device with IMEI 384412919
2. Accessed our Network Security Database (NSD) to review the blacklist status
3. Confirmed the device was erroneously added to the national blacklist registry on 2024-06-21
4. Submitted an expedited removal request to the Central Equipment Identity Register (CEIR)
5. Received confirmation of successful removal from blacklist at 22:45 on 2024-06-25
6. Performed a network refresh to ensure proper registration of your device

Your OnePlus 12 has been successfully removed from all blacklists and should now function normally on our network. As per our Service Restoration Policy (SRP-2024-03), I've applied a service credit of $25.00 to your account for the inconvenience caused by this error.

I recommend restarting your device to ensure it properly registers with our network. If you experience any connectivity issues, please try removing and reinserting your SIM card. You can also verify your device status through our mobile app (available on both iOS and Android) under ""Device Information"" in your account settings.

We sincerely apologize for this error and any inconvenience it may have caused. Is there anything else I can assist you with regarding this matter?

Best regards,
Agent TEC-8019
Technical Support Team",2024-06-26 00:06:29.859081,TEC-8019,"Ticket ID: TICK-8008
Customer ID: CUS-10012
Subscription ID: SUB-10000018
Category: Technical
Priority: Low
Status: Resolved
Created: 2024-06-22 00:06:29.859081
Agent ID: TEC-8019
Resolved: 2024-06-26 00:06:29.859081

---
DESCRIPTION:
---

Re: Ticket TICK-8008 (Created: 2024-06-22 00:06)

Customer's phone reported as lost/stolen incorrectly; needs review of blacklist status for OnePlus 12 with IMEI 384412919.

---
RESOLUTION:
---

Resolution for Ticket TICK-8008 | Agent TEC-8019 | Resolved on 2024-06-26 00:06

Dear Customer,

Thank you for bringing this matter to our attention regarding your OnePlus 12 device that was incorrectly reported as lost/stolen.

Actions Taken:
1. Verified your account details and ownership of the device with IMEI 384412919
2. Accessed our Network Security Database (NSD) to review the blacklist status
3. Confirmed the device was erroneously added to the national blacklist registry on 2024-06-21
4. Submitted an expedited removal request to the Central Equipment Identity Register (CEIR)
5. Received confirmation of successful removal from blacklist at 22:45 on 2024-06-25
6. Performed a network refresh to ensure proper registration of your device

Your OnePlus 12 has been successfully removed from all blacklists and should now function normally on our network. As per our Service Restoration Policy (SRP-2024-03), I've applied a service credit of $25.00 to your account for the inconvenience caused by this error.

I recommend restarting your device to ensure it properly registers with our network. If you experience any connectivity issues, please try removing and reinserting your SIM card. You can also verify your device status through our mobile app (available on both iOS and Android) under ""Device Information"" in your account settings.

We sincerely apologize for this error and any inconvenience it may have caused. Is there anything else I can assist you with regarding this matter?

Best regards,
Agent TEC-8019
Technical Support Team"
TICK-8009,CUS-11086,SUB-10001597,2025-04-07 00:06:44.542122,Resolved,Billing,Medium,"Re: Ticket TICK-8009 (Created: 2025-04-07 00:06)

Customer disputes charge of $173.61 for International Calls; provide breakdown and remove unwanted services.","# Resolution for Ticket TICK-8009 | Agent BIL-2040 | Resolved on 2025-04-11 00:06

Dear Valued Customer,

Thank you for bringing this billing concern to our attention regarding the international call charges of $173.61 on your account. I appreciate your patience while we thoroughly investigated this matter.

## Investigation Details:
- Accessed billing system ATLAS to review your complete call history for the current billing cycle
- Analyzed all international calls made between March 7 - April 6, 2025
- Verified rate plans and international calling features currently on your account
- Confirmed international calling destinations and applicable per-minute rates

## Findings:
Upon review, I found that your account did not have our International Calling Plan activated, which resulted in the standard pay-per-use international rates being applied. The $173.61 charge breaks down as follows:
- 47 minutes to Canada: $23.50 ($0.50/min)
- 96 minutes to United Kingdom: $95.04 ($0.99/min)
- 38 minutes to Germany: $55.07 ($1.45/min)

## Actions Taken:
1. Applied a one-time courtesy credit of $86.81 (50% of disputed charges) per our Customer Satisfaction Policy (CSP-2025-INT)
2. Added our Global Calling Plan ($15/month) to your account effective immediately, which includes:
   - Reduced rates to Canada ($0.05/min)
   - Reduced rates to 80+ countries including UK ($0.10/min) and Germany ($0.15/min)
3. Set a calendar reminder in our system to follow up with you in 30 days to ensure the new plan meets your needs

The Global Calling Plan can be managed through our mobile app or online account portal. You can monitor usage, change preferences, or remove the feature at any time.

Is there anything else I can assist you with regarding your international calling needs? Please don't hesitate to contact us if you have any questions about your bill or service options.

Best regards,

Agent BIL-2040
Billing Solutions Team",2025-04-11 00:06:44.542122,BIL-2040,"Ticket ID: TICK-8009
Customer ID: CUS-11086
Subscription ID: SUB-10001597
Category: Billing
Priority: Medium
Status: Resolved
Created: 2025-04-07 00:06:44.542122
Agent ID: BIL-2040
Resolved: 2025-04-11 00:06:44.542122

---
DESCRIPTION:
---

Re: Ticket TICK-8009 (Created: 2025-04-07 00:06)

Customer disputes charge of $173.61 for International Calls; provide breakdown and remove unwanted services.

---
RESOLUTION:
---

# Resolution for Ticket TICK-8009 | Agent BIL-2040 | Resolved on 2025-04-11 00:06

Dear Valued Customer,

Thank you for bringing this billing concern to our attention regarding the international call charges of $173.61 on your account. I appreciate your patience while we thoroughly investigated this matter.

## Investigation Details:
- Accessed billing system ATLAS to review your complete call history for the current billing cycle
- Analyzed all international calls made between March 7 - April 6, 2025
- Verified rate plans and international calling features currently on your account
- Confirmed international calling destinations and applicable per-minute rates

## Findings:
Upon review, I found that your account did not have our International Calling Plan activated, which resulted in the standard pay-per-use international rates being applied. The $173.61 charge breaks down as follows:
- 47 minutes to Canada: $23.50 ($0.50/min)
- 96 minutes to United Kingdom: $95.04 ($0.99/min)
- 38 minutes to Germany: $55.07 ($1.45/min)

## Actions Taken:
1. Applied a one-time courtesy credit of $86.81 (50% of disputed charges) per our Customer Satisfaction Policy (CSP-2025-INT)
2. Added our Global Calling Plan ($15/month) to your account effective immediately, which includes:
   - Reduced rates to Canada ($0.05/min)
   - Reduced rates to 80+ countries including UK ($0.10/min) and Germany ($0.15/min)
3. Set a calendar reminder in our system to follow up with you in 30 days to ensure the new plan meets your needs

The Global Calling Plan can be managed through our mobile app or online account portal. You can monitor usage, change preferences, or remove the feature at any time.

Is there anything else I can assist you with regarding your international calling needs? Please don't hesitate to contact us if you have any questions about your bill or service options.

Best regards,

Agent BIL-2040
Billing Solutions Team"
TICK-8010,CUS-10609,SUB-10000900,2024-06-09 00:07:01.126303,In Progress,Billing,Medium,"Re: Ticket TICK-8010 (Created: 2024-06-09 00:07)

Customer requests bill credit due to 22 hour service outage in Lisatown; confirm eligibility and apply compensation.","","","","Ticket ID: TICK-8010
Customer ID: CUS-10609
Subscription ID: SUB-10000900
Category: Billing
Priority: Medium
Status: In Progress
Created: 2024-06-09 00:07:01.126303

---
DESCRIPTION:
---

Re: Ticket TICK-8010 (Created: 2024-06-09 00:07)

Customer requests bill credit due to 22 hour service outage in Lisatown; confirm eligibility and apply compensation."
